Descriptive_JobTitle,CL,skills,rec_city,Rec_location,Actual_billrate,predicted_billrate
Workday Integration Developer,Medium,".NET,Architecture,Business Objects,C#,Citrix,COBOL,COM,DB2,er,ERP,JavaScript,Management,Microsoft Access,Microsoft Excel,PeopleSoft,Project Management,Quality Center,Recruiting,Risk Management,SDLC,SOA,SOAP,SQL,SQR,SS7,Systems Integration,Technical Support,Training,Visual Studio,XML,XSL,XSLT",Austin,Texas,85.0,100.2189
Sharepoint Developer,Medium,".NET,Automation,CSS,JavaScript,Management,Quality Assurance,SDLC,Software Development,Visual Studio",Charlotte,North Carolina,71.0,78.80990000000003
Catalog Specialist I,Medium,"e-commerce,Marketing",Kennesaw,Georgia,85.5,80.3779
Java Developer,Medium,"AJAX,Oracle,Servlets,Spring,Tomcat,WebLogic,WebServices",Charlotte,North Carolina,93.81,94.29589999999996
BA/Product Owner,High,Management,Philadelphia,Pennsylvania,100.0,81.11189999999999
Mainframe Systems Engineer,High,"COBOL,Engineering,Mainframe,Microsoft Access,Rexx,SAS",Addison,Texas,113.96,109.70070000000004
Automation Tester,Medium,"Automation,DB2,Focus,SQL",Addison,Texas,73.96,83.35679999999996
Information Security Specialist,Medium,".NET,Focus,Management,Microsoft Access",Rancho Cordova,California,87.6,87.10250000000008
Hadoop Admin,Medium,"COM,Management,SDLC",Lisle,Illinois,100.0,93.78260000000002
IBM Datapower,Medium,"WebSphere,XML",Charlotte,North Carolina,80.5,81.24580000000002
Business Analyst,High,"Change Management,Management,Project Management,Research",Charlotte,North Carolina,89.0,79.55310000000001
Business Analyst,High,"Business Analyst,Data Analysis,Microsoft Excel,Microsoft Office,Microsoft PowerPoint,Oracle,Project Management,Software Development,SQL",Addison,Texas,79.78,81.89300000000001
STRATEGY CONSULTANT,High,"Change Management, Management, Focus",Charlotte,North Carolina,110.75,88.99029999999999
Architect / Technical Lead,Medium,"Architecture,C#,Engineering,Focus,JavaScript,Linux,Microsoft Access,Oracle,RDBMS,SOA,SOAP,Software Development,XML",Atlanta,Georgia,100.0,89.1343
Project Manager Senior,Medium,"COM,Microsoft Excel,Project Management,Research,Training",New York,New York,89.5,92.0297
UX Designer,Low,Other,San Francisco,California,68.17,107.9321
Senior IT Security Analyst,Low,"Logistics,Microsoft Access,Networking,Research",Charlotte,North Carolina,69.01,88.51689999999999
"Sr. UX Designer, Sr. Solutions Architect",High,"InDesign,Management,Research",New York,New York,140.0,115.5917
Scrum Master/ Business Analyst,Medium,"Training,Data Warehouse",Dallas,Texas,100.0,95.47140000000002
SAP MM Consultant,Medium,"ABAP,Management,Procurement,SAP",Houston,Texas,95.0,87.0863
5G Software: Systems Test Engineer,Medium,"Automation,Data Analysis,DSP,Focus,Perl,Python,Software Development,Wireless",Boulder,Colorado,85.5,87.68483333333336
IT Business Analyst,Medium,BA,Charlotte,North Carolina,76.0,77.39020000000006
Solution Architect,High,"Active Directory,Automation,Cloud Computing,Engineering,Firewall,Linux,Networking,Systems Engineering,Windows 2000,Windows 2003,Windows 98",Chicago,Illinois,200.0,101.28900000000004
IT - Agile Coach,High,"Management,SAP",Spring,Texas,124.41,112.5874
Full Stack Software Engineer,Medium,"Automation,Engineering,JavaScript,Python,Software Development,Software Engineer,Spring,SQL",Reston,Virginia,91.0,87.9048
Data Loss and Prevention,High,"CISSP,Information Security",Dallas,Texas,150.0,98.0686
Developer,High,"Account,advice,all,Analytical,Angular,application,Applications,bachelor,Backbone,BE,Build,building,Business,Client,Coding,Concepts,concerns,Could,CSS,Customer,debugging,DEC,degree,deliver,design,Develop,developers,developing,Development,drives,encoding,Engineering,Fast,field,Frameworks,FSI,gl,Good,html,IMPACT,implementation,Information,Interfaces,Javascript,JS,json,JWT,knowledge,live,Load,local,management,members,Mockups,motor,OAuth,Object-Oriented Desi,operation,optimization,OR,Other,Others,PAGE,perform,Phases,Practical,practices,problem,Problem Solving and,Professional,Profit,Project,React,resolve,Respond,restful,Science,senior,Service,services,software,Specifications,support,Supports,Team,technical,techniques,technologies,Testing,thorough,timely,tools,translate,Troubleshooting,ui,value,vehicle,Web,with,work,working,Works,YES",Charlotte,North Carolina,100.0,86.22769999999998
Agile Coach,High,"Architecture,SDLC,SPC",Pennington,New Jersey,140.0,106.9967
Senior Backend (Server Side) Developer,Medium,"Java,Spring",Phoenix,Arizona,85.5,86.7624
User Interface Designer,Medium,"Other, microsoft powerpoint, microsoft word, management, research, html, microsoft excel, recruiting, Compliance, Logistics, Microsoft Visio, Mi",Pasadena,California,92.0,92.60519999999995
Sr. Java Developer,Medium,"Business Development,Compliance,Management,Oracle,PL/SQL,SOA,SQL",Charlotte,North Carolina,92.39,96.07799999999996
Senior iOS Developer,Medium,WORD,Vancouver,British Columbia,85.5,89.19030000000001
Analyst - QA Analyst II,Low,Automation,Burnaby,British Columbia,60.0,76.24609999999998
DATABASE ANALYST,Medium,"PL/SQL, Automation, Architecture, Management, Oracle Database, Oracle, WebLogic, SQL, Data Modeling, Disaster Recovery, Java, Database Design",Rosemont,Illinois,72.75,82.7023
Program Manager I,Medium,"Cisco,COM,Technical Support",Toronto,Ontario,97.0,81.38409999999999
Business Analyst,High,"management,Training,Focus,Direct3D, Compliance",Charlotte,North Carolina,66.5,78.3689
APPS SYSTEMS ENGINEER,Medium,Compliance,Charlotte,North Carolina,71.0,71.0
Embedded Developer,Medium,"Device drivers,Engineering,Technical Support,Training,Wireless",San Diego,California,85.5,88.65719999999999
Mobile Technical Lead,High,"COM,WAN,Windows 2000,Windows 2003,Windows 98",Charlotte,North Carolina,110.0,82.67060000000001
Senior Technical Director,High,"Architecture,COM,Focus,XBOX,Microsoft Access",Burnaby,British Columbia,120.0,100.0112
Java Server-side Senior Consultant,Medium,"Focus,Spring",Mississauga,Ontario,82.0,97.8478
Project Manager BIS,High,"Engineering,Project Management,SAP",Milwaukee,Wisconsin,150.0,89.15629999999999
Java Developer,High,"Compliance,Data Modeling,Research,Technical Support",Charlotte,North Carolina,120.0,86.0793
Business Analyst,High,"Architecture,COM,Management,Research,VMS",Atlanta,Georgia,85.0,76.3423
Recruiter - Recruiter III,Medium,"Engineering,Focus",Seattle,Washington,88.51,85.55450000000015
Sr Oracle Developer,Medium,SQL,New York,New York,85.5,91.5518
Project Coordinator/Business Analyst,Low,"Cisco,Direct3D,J2ME,Java,Program Management,Project Coordinator,Research",Englewood,Colorado,65.0,85.3794
Business Analyst,High,"Business Analyst,Management,Microsoft Excel,Microsoft Word",San Ramon,California,113.13,89.14069999999994
Developer,High,"Other, JAVA, api, software, AWS, Associate, Coding, Data, engineer, Focus, frontend, full, microservices, stack",McLean,Virginia,130.0,117.2063
Data Analyst,Medium,"microsoft word,microsoft outlook,microsoft excel,Automation,CMM,Engineering",Ashburn,Virginia,57.0,91.5246
Agile Coach- Expert Level,High,"Management,SAP",Spring,Texas,129.14,121.19500000000004
Business system consultant,High,Systems Analysis,Charlotte,North Carolina,66.5,77.96900000000001
Analyst - QA Analyst II,Low,"Automation,COM,Research,Software Development",Burnaby,British Columbia,55.0,77.14549999999998
Software Engineer,High,"Architecture,Automation,MySQL,Oracle,Software Engineer,Spring",San Jose,California,87.65,95.9321
Java Developer,High,"Architecture,Engineering",McLean,Virginia,121.73,125.02649999999991
Java Developer,High,CSS,Chicago,Illinois,96.93,95.78050000000006
Business Systems Analyst - IT - III,Medium,"Business Analyst,Software Development,Systems Analyst,Training,UML",Foster City,California,120.26,101.08909999999996
Java Developer,High,"DHTML,Hibernate,JavaScript,JDBC,JSP,Linux,Microsoft Excel,Oracle,PL/SQL,Servlets,Shell,Spring,SQL,Toad,UNIX,VBA,Visual Basic,WebSphere",Jersey City,New Jersey,96.93,105.33700000000005
SAP ISU Billing Functional Consultant,Medium,"Architecture,CRM",Detroit,Michigan,90.0,89.79529999999998
ABAP Developer,Medium,ABAP,Charlotte,North Carolina,110.0,93.89229999999998
BUSINESS SYSTEMS CONSULTANT,Medium,"Systems Analysis, Training",Charlotte,North Carolina,66.5,66.69138064019315
Sr Java Developer,Medium,"Apache,Architecture,COM,Linux,MySQL,Oracle,SDLC,SOA,SOAP,Software Engineer,SQL,UNIX,hadoop",Minneapolis,Minnesota,90.0,90.3428
Security Analayst,Medium,"CISSP,Compliance,ISO 9001,Management,Project Management,Research,SAN",Saint Louis,Missouri,85.5,94.74750000000002
Java Developer,High,"Automation,Azure,Business Analyst,EDI,Firewall,SOA,SOAP,Spring,SS7,TIBCO,UNIX",Eden Prairie,Minnesota,99.0,90.12049999999992
Production Support Consultant,Low,"all,analysis,application,basic,CAN,change,checks,Communication,Components,Critical,Customer,databases,Desk,detailed,develop,diagnose,Driven,Engineering,enterprise,Enthusiastic,environment,escalate,Execute,Facilitator,flexible,function,GLOBAL,identify,identifying,implementation,implementations,incident,incidents,Infrastructure,Introscope,IS,issues,IT,ITIL,JAVA,knowledge,Less,Linux,Machine,management,Middleware,Monitoring,MOST,MQ,Multi,Network,Operating,operations,OR,order,OS,PARTNER,perform,Performance,Phase,platform,problem,procedures,production,Proficient,Projects,Reports,research,Resolution,resolve,Resolving,Respond,responsible,resulting,role,ROUTING,Service,services,Shooting,Sitescope,solve,splunk,Storage,support,system,Team,technical,technology,this,Tivoli,tools,Trouble,UNIX,Verbal,Virtual,Windows,with,work,working,written,Business",Richmond,Virginia,47.65,61.70260000000001
Developer,Medium,"Other, management, architecture",Charlotte,North Carolina,100.0,82.34530000000002
Engineer,Medium,"ANT,Architecture,Automation,Java,Linux,Management,Microsoft Windows,Networking,Perforce,Perl,Python,Shell,SOA,SOAP,Software Development,SS7,Tomcat,UNIX,WebSphere,Windows 2000,Windows 2003,Windows 98,XML",Charlotte,North Carolina,70.35,79.7572
APPS SYSTEMS ENGINEER 6,Medium,"Ab Initio,Architecture,Business Analyst,Data Analysis,Engineering,ETL,hadoop,Management,Oracle,Python,SDLC,Shell,Software Development,SQL,UNIX",Charlotte,North Carolina,80.5,78.78
Developer,Medium,"Perl,SAN,SS7",San Jose,California,85.5,95.2339
systems analyst I - IT,Low,"Architecture,Focus,LAN,Quality Assurance,Training,WAN",Seattle,Washington,49.0,62.322300000000034
Java full stack developer (mid-level),Medium,"Architecture,Automation,Azure,Engineering,JavaScript,JDBC,JSP,Servlets,SOA,XML,XSL",San Francisco,California,100.0,107.3601
Oracle EBS Solution Arcitect,Low,"Oracle,PeopleSoft,SS7",Dallas,Texas,85.5,93.9521
Project Manager,Medium,"Active Directory,Engineering,ITIL,Management,Microsoft Excel,Microsoft Exchange,Microsoft Office,Microsoft Project,Microsoft SharePoint,Microsoft Visio,Microsoft Word,Project Management,Risk Management",Union,New Jersey,85.5,89.95370000000001
Business Analyst,High,"SQL,Training",Charlotte,North Carolina,76.0,70.78359999999999
IT - Developer (Specialty) II,Medium,"Architecture,DB2,SOA,SOAP,Spring",Richfield,Minnesota,90.25,102.348
Recruiter III,Medium,STE,Madison,Wisconsin,54.38,76.29490000000004
WEB DEVELOPER,Medium,"JavaScript, Quality Assurance, Web Development, Perl, HTML, Spring, Hibernate, Multimedia, XML, CGI, C++, Java, ASP",Chandler,Arizona,71.0,77.9284
Business Analyst,Medium,"ASP,Change Management,Management,Training,VMS",Calgary,Alberta,85.0,80.67009999999999
ERP / CRM Developer,High,"Other, Waterfall, SDLC, Business, Test, configuration, confi",Burbank,California,124.0,102.0479
Informatica/ ETL Developer,Medium,"ETL,SAN,SOAP",Los Angeles,California,85.5,94.2835
Software Engineer: Cloud - II,High,"Engineering,FPGA",Hudson,Massachusetts,99.99,90.99110000000005
Information Security Specialist,Medium,".NET,CISSP,Compliance,Focus,Management,Microsoft Access,SAN",Rancho Cordova,California,60.0,78.36070000000007
Business Analyst II,Medium,"Architecture,Change Management,Data Warehouse,ETL,Mainframe,Management,Research,Six Sigma,Training,Quality Assurance",Mercer Island,Washington,85.5,86.1358
Data Engineer,Medium,"Architecture,Cognos,Database Design,hadoop,Informatica,Information Management,Java,Management,Project Management,Python,SAS",Tampa,Florida,78.47,90.62989999999998
Java Developer,High,Training,Richmond,Virginia,78.79,71.32902499999989
Software Dev Engineer,Medium,"Architecture,Engineering,JavaScript,Management,Product Management",Bellevue,Washington,85.5,86.9329
PROJECT MANAGER 6,Medium,"Compliance,ISO 9001,Project Management",Charlotte,North Carolina,96.0,93.1662
Agile Scrum Master,Medium,EPIC,Pennington,New Jersey,111.3,112.6207999999999
PROJECT MANAGER 6,Medium,"Compliance,Project Management",Charlotte,North Carolina,96.0,94.7215
Recruiter - Recruiter II,Medium,"Account Management,Focus,Microsoft Excel,Microsoft Office,Microsoft Outlook,Microsoft Word,Research",Herndon,Virginia,78.72,84.19110000000006
Infra Project Manager,Medium,"Management,Training",New York City,New York,85.5,72.4324
Business Analyst/Data Analyst,Medium,"Microsoft Excel,Microsoft Outlook,Microsoft Word,SQL",Atlanta,Georgia,90.0,91.16749999999998
BUSINESS SYSTEMS CONSULTANT,Medium,"Systems Analysis, Training",Charlotte,North Carolina,66.5,64.30104869272884
Developer,Medium,"SDLC,architecture,Apple,Focus,Mobile",Charlotte,North Carolina,92.39,91.532
Analyst/Developer,High,".NET,Architecture,ITIL,Java,Spring",Long Beach,California,81.6,103.4437
Project Manager- Workday,Medium,"Focus,Microsoft Excel,Microsoft Office,Microsoft Project,Microsoft Word,Quality Control,Research,SAP,SDLC",Deerfield,Illinois,85.5,115.98110000000004
.Net Developer,Medium,".NET,AJAX,ASP,WCF,CSS",Pennington,New Jersey,83.56,93.12740000000008
OS Engineer,Medium,Windows 2003,Dallas,Texas,85.5,83.0598
Java Developer,Medium,"Architecture,Engineering,SQL,SQL Server,Training,Web Development",Richardson,Texas,60.0,79.2273
SAP QM Quality Management,Medium,"ABAP,Cloud Computing,Management,Microsoft Excel,Microsoft Word,SAP,Training",Houston,Texas,110.0,100.8832
Technical Writer,Medium,"Architecture,EDI,HTML,Technical Writer,UML",Seattle,Washington,67.2,92.8807
Project Manager,Medium,".NET,Automation,er,Focus,Management,Marketing,Natural,Product Management,Program Management,Project Management,Siebel,Training",Waterloo,Ontario,110.0,99.62160000000002
Information Security Analyst - II,Medium,"CISSP,ISO 9001,Management,Microsoft Access,Project Management,SAN,Training",Fresno,California,85.5,86.1291
3D Artist 3,Medium,".NET,Azure,COM,CRM,Exchange Server,Logistics,Marketing,Microsoft Access,Perforce,Procurement,Python,XBOX",Redmond,Washington,85.5,86.375
Sr. Java Developer,High,"Engineering,hadoop",Minneapolis,Minnesota,150.0,86.37439999999998
DevOps Engineer � Senior,Medium,"Linux,Windows 2000,Windows 2003,Windows 98",San Diego,California,101.14,89.33519999999999
Developer,Medium,"Oracle,python,management, Informatica, ETL",Charlotte,North Carolina,92.39,86.95689999999999
Sr. UX Designer,Low,"COM,DOS,SAN,WAN",San Francisco,California,77.61,103.5921
Program Manager IV,High,"Change Management,Direct3D,Microsoft Excel,Microsoft Project,Microsoft Word,Program Management,Project Management,Research,SDLC,Six Sigma,Training",Chicago,Illinois,115.0,105.0902
Project Manager - III,High,"Microsoft Excel,Microsoft Office,Microsoft Project,Project Management,Quality Control,Six Sigma,Training",Foster City,California,150.0,89.72320000000002
Project Manager,High,"Management,SDLC",Charlotte,North Carolina,88.18,79.85715500000013
Java Developer,High,"Architecture,Automation,Engineering,Training",Mc Lean,Virginia,85.5,115.12319999999995
IT Security Analyst,Medium,"Automation,Network Security,SMTP,SNMP,SS7,TCP/IP",Palo Alto,California,85.5,97.55879999999998
Senior Android Developer,Medium,"Business Analyst,Java",Irving,Texas,100.0,95.0424
Business Operations Analyst Lead,Medium,"Change Management,Direct3D,Focus,Project Management",Atlanta,Georgia,96.41,85.24009999999994
Marketing Manager,High,"Focus,Marketing,Networking",San Francisco,California,75.0,93.00479999999996
BUSINESS SYSTEMS CONSULTANT,Medium,"Systems Analysis, Engineering, Architecture, Training, Direct3D",Charlotte,North Carolina,76.0,72.95898484848483
Sr Oracle Apps Developer,Medium,"Management,Oracle",Bellevue,Washington,85.5,88.6258
CAP MKTS-APPS SYS ENG,High,Other,Charlotte,North Carolina,126.25,86.07010000000002
Senior QA Analyst,Medium,".NET,COM,DB2,JavaScript,Linux,Management,Microsoft Access,Shell,UNIX,WebSphere,XML,RDBMS",Austin,Texas,79.67,76.89559999999999
Recruiter II,Medium,"Account Management,Focus,Management,Recruiting,Research",Seattle,Washington,95.59,82.37810000000009
F5 Engineer,Medium,SS7,Pennington,New Jersey,90.2,79.17989999999998
Integration Architect,High,"Architecture,Automation,Compliance,Data Warehouse,Direct3D,Java,Management,SOA,SOAP,Software Development,Web Design,Wireless",Bellevue,Washington,140.0,88.54039999999999
application developer lead - specialty,High,"Data Modeling,ETL,Software Development,WAN",Seattle,Washington,122.57,92.05600000000004
Java developer,Medium,"AJAX,Compliance,CSS,Database Design,HTML,IIS,JavaScript,Oracle,Oracle Database,SDLC,Spring,SQL,SQL Server,SSRS,Tomcat,UNIX,WebLogic,WebSphere,Windows 2000,Windows 2003,Windows 98",Charlotte,North Carolina,71.0,85.1067
SAP P2P Analyst,High,"ABAP,Automation,Logistics,OSS",The Woodlands,Texas,125.0,119.84029999999998
Cisco CUCM Engineer,Medium,"Architecture,Compliance,Engineering,Management,Microsoft Office,Networking",Charlotte,North Carolina,85.98,88.77249999999998
Data Centre operator,Medium,"Automation,ETL,IIS,Linux,Oracle,Tivoli,UNIX,WebSphere",Maryland Line,Maryland,50.0,60.44470000000001
Oracle EBS Developer,Medium,"er,ERP,Oracle Forms,Oracle Reports,PL/SQL,Publisher,SQL,Technical Support,XML",New York,New York,80.0,89.28300000000002
Business Analyst/ IT PMO Analyst,Low,"Management,SDLC",Chicago,Illinois,50.12,77.19049999999999
Big Data Developer,Medium,"Java,SDE,SDET,SOA,SOAP",Minnetonka,Minnesota,88.0,87.4386
Salesforce System Analyst,Medium,"COM,CRM,Management,Microsoft Office,Project Management,SDLC,Systems Analyst",Pennington,New Jersey,104.63,94.30600000000004
Angular UI Developer,Medium,Applications Development Consultant,Eden Prairie,Minnesota,84.0,94.7622
Front End Developer,Medium,"COM,JavaScript,HTML",Jersey City,New Jersey,104.63,102.90930000000002
UI Developer,Medium,"Apache,hadoop,Java",Minneapolis,Minnesota,87.0,91.6246
Tibco Developer,High,SOA,Pennington,New Jersey,96.0,86.05180000000004
DATABASE ANALYST,Medium,"SAS, Engineering, Focus, SQL, Marketing, Direct3D",Concord,California,91.75,88.11840000000001
Product Designer 2,Medium,".NET,Azure,COM,Compliance,Content Management,CRM,CSS,Graphic Design,HTML,Illustrator,Logistics,Management,Marketing,Microsoft Access,Photoshop,Procurement,Research,Web Design,Web Development,XBOX",Redmond,Washington,85.5,85.14229999999999
Senior Developer,Low,"HTML, Project Management, Management, SOAP, Java, SOA, XML, Architecture, Information Security, DBA, Hibernate, Compliance, AJAX, SQL, JMS, JSP, DB2, Spring",Minneapolis,Minnesota,80.5,83.12020000000001
Cloud Architect,High,Data Management,Rolling Meadows,Illinois,150.0,113.9948
Oracle DBA,Medium,"DB2,Engineering,er,ERP,Firewall,Linux,Oracle",Charlotte,North Carolina,99.74,94.19979999999988
Lead BD Apps Developer,Medium,"Python,SQL,UNIX",Eden Prairie,Minnesota,88.0,106.29970000000002
DevOps Engineer,Medium,"Automation, ITIL, Perl, Oracle, Java, Linux, Shell, SQL, UNIX, Python, Management, Sybase",Chicago,Illinois,100.0,99.3518
Data Engineer,Medium,"Data Warehouse,ETL,Java,JavaScript,Shell",San Francisco,California,130.0,119.5304
Full stack developer,Medium,"ANT,Architecture,Hibernate,HTML,J2ME,JavaScript,JMS,Linux,Oracle,RDBMS,Shell,SOA,Spring,SQL,User Interface Design",Charlotte,North Carolina,80.5,82.23819999999998
Platform Manager,High,"Management,SAN",San Francisco,California,105.0,103.8198
Project Manager II,High,"Mainframe,Microsoft Access,Microsoft Office,Microsoft Outlook,Project Management",Chesterbrook,Pennsylvania,102.86,86.00019999999996
Mobility Solutions Engineer,Medium,"Architecture 
,Engineering 
,Management 
,Microsoft Office 
,Natural",Piscataway,New Jersey,85.5,85.95259999999999
Support Engineer 3 (Developer Messaging),Medium,".NET,Active Directory,C#,C++,COM,IIS,Java,JavaScript,Microsoft Access,Networking,SMTP,Training,VB.NET,Visual Basic,Visual Studio,Windows 2000,Windows 2003,Windows 98",Charlotte,North Carolina,65.0,74.41210000000002
Project Manager,Medium,"Marketing,Microsoft Access,Training",Charlotte,North Carolina,74.0,71.66240000000008
Java Developer,Medium,Hibernate,Charlotte,North Carolina,92.39,89.52199999999993
Program Manager,High,"Other,Project Management,management,microsoft office,microsoft project,Risk management,Direct3D",Dallas,Texas,90.0,94.2525
Release Coordinator/Technical Analyst,Medium,"Focus,ITIL",Charlotte,North Carolina,76.02,87.78140000000003
Hadoop Developer,Medium,"Engineering,ETL,Focus,Management",Montreal,Quebec,85.5,95.7914
Project Manager,High,".NET,Apache,ASP,CICS,Cisco,Citrix,CMM,CMMI,COBOL,COM,Compliance,Crystal Reports,DB2,Delphi,DHTML,DNS,Essbase,Firewall,HTML,IIS,IMS,ISO 9001,ITIL,Java,JavaScript,JCL,LAN,LDAP,Linux,Lotus Notes,Mac,Management,Microsoft Excel,Microsoft Office,Microsoft Outlook,Microsoft Project,Oracle,Oracle Applications,PeopleSoft,Perl,Project Management,Risk Management,SAN,SAP,SDLC,Six Sigma,SOX,SQL,SQL Server,SS7,Sybase,TCP/IP,UML,UNIX,VBScript,VERITAS,Visual Basic,Visual C++,VSAM,WAN,WebLogic,WebSphere,Windows 2000,Windows 2003,Windows 98,Wireless,XML,C++",Georgetown,Kentucky,72.0,107.57219999999998
Scrum Master II,Medium,"Engineering,Focus,Information Security,Microsoft Access,Microsoft Office,Microsoft Project,Networking,Project Management,Software Development",Chesterbrook,Pennsylvania,94.68,98.50160000000008
UI Designer III,Medium,Research,Mountain View,California,90.0,87.25569999999999
Infrastructure Manager,Medium,"Other, Compliance, ITIL, Management",Foster City,California,90.45,84.93180000000001
Full stack Developer,Medium,"ASP,ASP.NET,C#,CSS,Engineering,Java,JavaScript,MySQL,Oracle,PHP,Software Development,SQL,SQL Server",Irvine,California,85.5,87.77680000000001
Security EGINEER,Medium,"ANT,Architecture,ATL,Compliance,Engineering,IDS,Intrusion,Linux,Management,Python,SS7,VMware,Windows 2000,Windows 2003,Windows 98",Farmers Branch,Texas,81.4,82.0308
salesforce,Medium,"Architecture,CRM,Engineering,Management,Microsoft Excel,Microsoft Office,Microsoft Word,Training",Miami,Florida,85.5,98.70729999999998
Java Developer,Medium,"Architecture,Automation,Azure,DB2,Engineering,Java,JavaScript,JDBC,JSP,Management,Servlets,SOA,Spring,XML,XSL",San Francisco,California,115.0,105.6944
Java Developer,Medium,"COM,Compliance,Engineering,Focus,HTML,Management,Oracle,Product Management,Quality Assurance,SAN,Software Engineer,WAN",San Jose,California,87.65,88.16089999999994
Information Security Engineer,High,"Architecture,Azure,CISSP,Compliance,Linux,Management,MCSE,Research,UNIX,VMware,Windows 2000,Windows 2003,Windows 98",Plano,Texas,110.0,93.45810000000002
Developer,High,"COM,CSS,DB2,hadoop,Hibernate,JavaScript,Oracle,PL/SQL,Shell,Spring,SQL,UNIX",Jersey City,New Jersey,96.93,104.23120000000004
Project Manager,Medium,".NET,Automation,CSS,Direct3D,J2ME,Java,JavaScript,Management,Project Management,SDLC,Shell,Software Development,UNIX",Alpharetta,Georgia,75.0,91.72659999999998
Business Analyst II,Medium,"Business Analyst,Business Continuity,Cadence,Disaster Recovery,er,Project Management,Risk Management,Tandem,VMware",Atlanta,Georgia,65.0,79.1485
Project Manager,High,"Direct3D,Management",Springfield,Massachusetts,85.5,85.4902
Javascript Developer,Medium,"Apache 
,Architecture 
,Automation 
,CSS 
,Hibernate 
,Java 
,Management 
,SDLC",San Jose,California,90.0,92.92340000000002
Backend Engineer,Medium,"Apache,e-commerce,hadoop,JDBC,JMS,JSP,Management,MySQL,Oracle,Python,Shell,SQL,Tomcat",Sunnyvale,California,113.85,107.427
Product Owner / Program Analyst,Medium,"Automation,EPIC,GIS,Product Management",Charlotte,North Carolina,91.64,88.78860000000007
Project Manager,Medium,"Compliance,Direct3D,Microsoft Excel,Microsoft Office,Microsoft Outlook,Microsoft Word,Program Management",Nashville,Tennessee,85.5,87.5525
Project Management Specialist,Medium,"strategy,management,leadership,planning,presentations,Training, Strategic,Teams, Project, procedures, OR, leading,Managing,Benefits,budgets,cases,Clarify,Define,IMPACT,INPUT,Level,major,Manage,Managed,Negotiating,Performance,Plans,Process,Processes,Program,programs,Projects,Requirements,Risks,senior,Sourcing,Stakeholders,statements,Team,with,BE,Delivers,Family,creates,develops,outside,Partners,manages,Leads,Progress,staff,Series,goals,ownership,responsible,all,Lines, Business,Visibility,Other",Chandler,Arizona,83.5,95.8032
Business Analyst,High,Business Analyst,Chicago,Illinois,50.12,84.26109999999998
Data Analyst,High,Engineering,Mountain View,California,120.0,84.8388
"Director, ERP Center of Excellence (COE) � Order to Cash Domains",High,"Architecture,Automation,Direct3D,er,Focus,ITIL,Logistics,Management,Marketing,Oracle Applications,SAP,Win32,Windows 2000,Windows 98",Glenview,Illinois,150.0,96.98510000000002
IT Security Engineer I,Low,"Cloud Computing,DNS,Java,Management,Perl,Python,Ruby,Training,UNIX",Farmers Branch,Texas,60.0,80.7196
STRATEGY CONSULTANT,High,"Architecture, Management, Direct3D",Paterson,New Jersey,132.75,109.42883333333332
Business Analyst,Medium,"COM,Direct3D,Management",Monterey Park,California,57.0,84.8195
Product Manager,Medium,"Marketing,Oracle",Minneapolis,Minnesota,85.5,92.1172
Project Manager / Scrum Master,Medium,"Architecture,CMM,CMMI,Engineering,EPIC,ITIL,Marketing,Training",Plano,Texas,80.0,87.84690000000002
Organizational Effectiveness Partner,Medium,"Change Management,Management,Project Management",Mountlake Terrace,Washington,90.0,87.88599999999998
Project Office Track Lead,Medium,"Data Analysis,er,ERP,Information Management,Microsoft Access,Microsoft Excel,Project Management,SAP,Microsoft Outlook",Spring,Texas,101.1,107.9473
Software Developer,High,"Architecture,Engineering,SAS,Software Testing",Wilmington,Delaware,130.0,100.86849999999998
Sr Project Manager - IT,Medium,"Direct3D,er,ERP,Management,Oracle",Bellevue,Washington,85.5,95.7648
DataPower Developer,Medium,"Architecture,Firewall,SS7,XSL,XSLT",Charlotte,North Carolina,80.5,89.4443
Backend Engineer,Medium,"Apache,e-commerce,Java,JMS,JSP,Management,MySQL,Oracle,Shell,Tomcat",Sunnyvale,California,109.87,111.40450000000004
Java Application Developer,Medium,SQL,Eden Prairie,Minnesota,90.0,90.63250000000002
Financial Analyst I,High,"J2ME,Java,Management,MySQL,Oracle,SQL,VBA,Visual Basic",Seattle,Washington,85.5,81.22570000000002
Front End Developer with ReactJS,Medium,"Architecture,CSS,JSP,Management,Oracle,SAS,Web Design",Union,New Jersey,85.5,86.7026
PKI Consultant,Medium,infrastructure,Redmond,Washington,85.5,87.61509999999997
Sr. UX Interaction designer,Medium,Architecture,Los Angeles,California,113.46,105.03979999999996
Project Coordinator - Media,Low,"Other, Project Management, PMP, Proactive, Project / Scope planning, Project / Scope plan, Proje",Charlotte,North Carolina,57.0,76.95970000000001
PROCESS ENGINEER 3,Medium,"Architecture,Automation,Change Management,Direct3D,Focus,Process Engineering,Training",Charlotte,North Carolina,88.25,90.77520000000004
UI Developer,Medium,"COM,CSS,ETL",Charlotte,North Carolina,92.39,93.38899999999992
Contracts Manager,High,"COM,Focus,Java,Management,Program Management,Project Management,SAN",San Francisco,California,115.0,84.24830000000003
Scrum Master,Medium,"Java,Systems Analysis",Charlotte,North Carolina,80.5,97.4559
